iter	RMSE
804	56.3959968
805	56.39001924
806	56.3820422
807	56.37628624
808	56.36805383
809	56.35676573
810	56.34848199
811	56.34710189
812	56.33344734
813	56.32481554
814	56.32225615
815	56.31779233
816	56.31330428
817	56.30801857
818	56.30231206
819	56.29289328
820	56.2865367
821	56.28184932
822	56.28031884
823	56.27615849
824	56.27206593
825	56.26273585
826	56.25103297
827	56.2465395
828	56.24106947
829	56.23086433
830	56.22208409
831	56.20671695
832	56.19723597
833	56.1941992
834	56.18461337
835	56.17951224
836	56.17609432
837	56.17022479
838	56.16133979
839	56.15689297
840	56.14435943
841	56.13810162
842	56.13359355
843	56.12671063
844	56.11612334
845	56.10870817
846	56.10255328
847	56.09773224
848	56.0900323
849	56.08360065
850	56.0790365
851	56.07421276
852	56.06628939
853	56.05663102
854	56.05062693
855	56.04719975
856	56.03927139
857	56.03201729
858	56.02646062
859	56.01987591
860	56.00760872
861	56.00283262
862	55.99033825
863	55.98582983
864	55.98056556
865	55.9771821
866	55.97381566
867	55.96516931
868	55.96274052
869	55.9547278
870	55.94873802
871	55.94331986
872	55.93714803
873	55.93038341
874	55.92327005
875	55.91860681
876	55.91365161
877	55.91068088
878	55.90341632
879	55.89585298
880	55.89248257
881	55.88575132
882	55.87870134
883	55.87506789
884	55.86363259
885	55.85960232
886	55.85174062
887	55.84493534
888	55.83892754
889	55.83753424
890	55.8331002
891	55.82849012
892	55.82056238
893	55.80695205
894	55.80094763
895	55.79558898
896	55.78853966
897	55.77731796
898	55.77290593
899	55.7664634
900	55.76183459
901	55.75281698
902	55.75018538
903	55.74197675
904	55.73605664
905	55.73052948
906	55.72455424
907	55.72131433
908	55.71606884
909	55.70785101
910	55.70406726
911	55.69998096
912	55.69386681
913	55.68826507
914	55.68416571
915	55.68047967
916	55.67726744
917	55.67537751
918	55.6675228
919	55.66127239
920	55.64994314
921	55.64494474
922	55.6412598
923	55.63818154
924	55.63167812
925	55.6267957
926	55.62090805
927	55.6166996
928	55.60641927
929	55.59755538
930	55.59297123
931	55.58488906
932	55.58010479
933	55.57220876
934	55.56630916
935	55.56292787
936	55.55919646
937	55.55750269
938	55.55346181
939	55.54812926
940	55.54191111
941	55.53876122
942	55.53732472
943	55.53398139
944	55.52889407
945	55.52151776
946	55.51455393
947	55.50968678
948	55.49795911
949	55.49081312
950	55.48583411
951	55.47990234
952	55.47456118
953	55.47187048
954	55.4660485
955	55.45722825
956	55.45261575
957	55.44564433
958	55.44261326
959	55.43967963
960	55.43583648
961	55.42765444
962	55.4205547
963	55.41566932
964	55.41094117
965	55.40823066
966	55.4039529
967	55.40068427
968	55.39704065
969	55.38989454
970	55.38522244
971	55.37551453
972	55.37391942
973	55.37124268
974	55.36656034
975	55.36410543
976	55.35964853
977	55.35708267
978	55.35097787
979	55.34766214
980	55.34259943
981	55.33832869
982	55.33431892
983	55.32864322
984	55.31685632
985	55.31268778
986	55.30662848
987	55.30097985
988	55.29079571
989	55.28394466
990	55.27800149
991	55.27370413
992	55.27046533
993	55.26592518
994	55.25956324
995	55.25790347
996	55.25158117
997	55.24780553
998	55.24442971
999	55.23783804
